랠리	ラリー
찢어	リップ
하스	ハース
다용도	多目的
대니얼스	ダニエルズ
버리기	破棄
환각	幻覚
긍정	肯定
허슬	ハッスル
대답	回答
브리	ブリー
지그재그	ジグザグ
하드리아누스	ハドリアヌス
스누커	スヌーカー
소란	擾乱
소란	騒乱
로어노크	ロアノーク
심비안	symbian
루마니아인	ルーマニア
매리언	マリオン
소파	ソファ
이사야	イザヤ
아스테릭스	アステリックス
카펜터	大工
칼루가	カルーガ
굴뚝	煙突
아래층	階下
목욕	風呂
목욕	入浴
농사	農業
일몰	夕焼け
일몰	日没
리브스	リーブス
따옴표	引用
카프카	カフカ
낙인	ラベル付け
음수	ネガティブ
음수	マイナス
음수	ネガ
총알	弾丸
총알	銃弾
빗자루	ほうき
미역	ワカメ
미역	海藻
테라스	パティオ
진화론	進化
진화론	evolution
나치즘	ナチズム
높음	ハイ
높음	高い
꽃가루	花粉
니트로	ニトロ
연락처	コンタクト
스카버러	スカーバロー
스카버러	スカボロー
스카버러	scarborough
찬미	賞賛
찬미	賛美
윤아	ユン
글로버	グローヴァー
글로버	グラヴァー
퀴디치	クィディッチ
행복해	ハッピー
행복해	幸せ
경쟁자	競合
낙농	酪農
엘라	エラ
히카루의	ヒカル
히카루의	ひかる
겸손한	謙虚
유비쿼터스	ユビキタス
로지텍	logitech
므앙	ムアン
드라이빙	運転
킬로	キロ
테오도라	テオドラ
라이오넬	ライオネル
온스	オンス
핏케언	ピトケアン
메간	メーガン
착각	幻想
착각	イリュージョン
착각	錯覚
독감	インフルエンザ
티투스	ティトゥス
티투스	タイタス
투발루	ツバル
리부트	リブート
핑거	フィンガー
꽃다발	ブーケ
제이콥스	ジェイコブス
트라이애슬론	トライアスロン
유니티	統一
동물들	動物
안토니우스	アンソニー
마르부르크	マールブルク
열다섯	fifteen
열다섯	十五
루블린	ルブリン
와인버그	ワインバーグ
디버거	デバッガ
바닷물	海水
매들린	マデリーン
화이팅	火曜日
족제비	イタチ
배심원	陪審制
배심원	陪審員
미디엄	ミディアム
미디엄	メディア
멤버십	会員
왜소은하	ドワーフ
왜소은하	小人
짜장면	スクイーズ
명명법	指定
셀틱스	セルティックス
앳킨슨	アトキンソン
무디	ムーディ
마사지	マッサージ
엘레베이터	エレベーター
필라멘트	フィラメント
지우기	削除
사멸	絶滅
피망	胡椒
조사관	検査官
방탄소년단	bts
콘트라	コントラ
호두	くるみ
호두	クルミ
리스프	lisp
급팽창	膨張
후지쯔	富士通
평점	評価
굴러	ローリング
유연성	柔軟
유연성	柔軟性
즉석	インスタント
즉석	瞬間
리버사이드	リヴァーサイド
사이렌	サイレン
슬로바키아어	スロバキア
나선형	スパイラル
나선형	渦巻
피카르	ピカール
다각형	多角形
다각형	ポリゴン
머무르지	滞在
머무르지	ステイ
폼페이	ポンペイ
쇼콜라	ショコラ
산책로	散歩道
산책로	プロムナード
관절염	関節炎
샌드	サンズ
다이족	ダイ
멜러니	メラニー
지역주의	regionalism
금붕어	金魚
금붕어	キンギョ
단검	ダガー
단검	短剣
카네이션	カーネーション
서핑	サーフィン
무스	ムース
커뮤니케이션스	通信
커뮤니케이션스	コミュニケーション
선택하기	選択
선택하기	select
ㅋㅋㅋ	lol
쉼표	コンマ
비프	ビーフ
비프	牛肉
지우개	イレイザー
지우개	消しゴム
배신자	裏切り者
메기	ナマズ
팔찌	ブレスレット
올빼미	フクロウ
올빼미	ふくろう
웨브	ウェッブ
무라트	ムラト
로지스틱	ロジスティック
따돌림	いじめ
디아즈	ディアス
팰콘	ファルコン
스파	スパ
상쾌한	爽やか
상쾌한	リフレッシュ
헨드릭스	ヘンドリックス
완료되었습니다	終了
경구개	口蓋
웰빙	ウェルネス
수성은	水星
수성은	マーキュリー
수성은	水銀
공주님	王女
공주님	プリンセス
씹는	チューインガム
경화	硬化
찬송가	聖歌
비동기	非同期
점퍼	ジャンパー
그레이하운드	グレイハウンド
버림	切り捨て
텀블러	タンブラー
견학	周遊
견학	遠足
완벽	完璧
미드나이트	ミッドナイト
미드나이트	真夜中
퍼킨스	パーキンス
분비	分泌
바이어스	バイヤーズ
미니어처	ミニチュア
마나과	マナグア
정답	正解
정답	正しい
우선순위	優先
봄베이	ボンベイ
해결책	ソリューション
해결책	溶液
레오니다스	レオニダス
허드	hurd
매복	待ち伏せ
플라타	plata
골동품	アンティーク
카스트	カースト
콜리세움	コロシアム
탕가니카	タンガニーカ
사다리꼴	台形
곰팡이	カビ
루치아노	ルチアーノ
자두	スモモ
쿼츠	石英
당국	当局
휴버트	ヒューバート
송라이터	ソングライター
바운드	束縛
바운드	バウンド
웨일스어	ウェルシュ
림프	リンパ
흐림	薄暗い
피스톨	ピストル
스미스소니언	スミソニアン
로커	ロッカー
캐럴라인	キャロライン
조리개	絞り
엑서터	エクセター
현무암	玄武岩
키보디스트	キーボーディスト
시저스	シーザーズ
리콜	リコール
주입	インジェクション
주입	注射
트라우마	トラウマ
트라우마	外傷
페더러	フェデラー
코널리	コノリー
관람객	観客
아카시아	アカシア
이레네	イレーネ
이레네	アイリーン
헤로인	ヘロイン
신참	ルーキー
튜닝	チューニング
박수	拍手
투명성	透明
투명성	透明度
그리워	ミス
부처님	ブッダ
부처님	仏陀
파트너십	パートナーシップ
에미리트	エミレーツ
블라드	ヴラド
캘커타	コルカタ
캘커타	カルカッタ
반죽	生地
사마르칸트	サマルカンド
플롯	プロット
강림	下りる
쿼리	問い合わせ
로제타	ロゼッタ
아울렛	コンセント
버티지	めまい
마스트리흐트	マーストリヒト
밝아	ブライト
밝아	明るい
헨트	ヘント
천정	天頂
베가스	vegas
베가스	ベガス
하이픈	ハイフン
청소부	家事
맥마흔	マクマホン
로봇과	ロボット
수트	スーツ
수트	背広
스코프	範囲
스코프	スコープ
풀러	フラー
프리미어십	プレミアシップ
미숙	未熟
핸들	ハンドル
파우더	粉末
파우더	パウダー
헬싱보리	ヘルシンボリ
호크아이	ホークアイ
라우터	ルータ
부줌부라	ブジュンブラ
시모네	シモーネ
시모네	シモーヌ
게시물	投稿
눈금	グリッド
블룸버그	ブルームバーグ
볼테르	ヴォルテール
나이젤	ナイジェル
레버	レバー
설치하기	インストール
산딸기	ベリー
수혈	輸血
피시	魚類
피시	フィッシュ
족제비과	イタチ
게이밍	ゲーム
타협	妥協
휴양지	リゾート
정의하기	定義
정의하기	define
보퍼트	ボーフォート
마들렌	マドレーヌ
어벤저스	アベンジャーズ
아스날	アーセナル
아스날	工廠
혼합물	混合物
울림	耳鳴り
헤드폰	ヘッドホン
아이테니엄	itanium
머스탱	マスタング
동결	フリーズ
윌러드	ウィラード
멍청한	バカ
포함됨	含む
알바레스	アルヴァレス
크레이머	クレイマー
빈티지	ビンテージ
밴조	バンジョー
경작	栽培
첼리스트	チェロ
플랜테이션	プランテーション
피난민	難民
콜라보	コーク
콜라보	コーラ
격려	奨励
격려	激励
헤밍웨이	ヘミングウェイ
지망생	研修
지망생	見習い
링링	リング
링링	指輪
유탄	手榴弾
왕따	いじめ
크루저	巡洋艦
크루저	クルーザー
다이내믹	ダイナミック
콘돔	コンドーム
외과의	外科医
신분증	ids
연이	カイト
수달	オッター
수달	カワウソ
창백한	青白い
창백한	ペール
발기	勃起
약초	ハーブ
조지아어	グルジア
조지아어	ジョージア
전지현	電池
전지현	バッテリー
전지현	バッテリ
베이킹	焼く
베이킹	焼成
롤백	rollback
수락	受け入れ
수락	受け入れる
수락	承認
빵집	ベーカリー
애국자	パトリオット
나사우	ナッソー
비장	脾臓
오스트라바	オストラヴァ
노랑색	イエロー
노랑색	黄色
열여덟	十八
열여덟	eighteen
신생아	新生児
파라마리보	パラマリボ
성실	正直
꿀벌	ビー
월급	給料
월급	俸給
월급	給与
만족도	満足
지도력	リーダーシップ
화난	怒り
소포	パッケージ
최면	睡眠薬
나스닥	nasdaq
궁금해	ワンダー
코헨	コーヘン
코헨	コーエン
포즈	ポーズ
브릭스	brics
자폐증	自閉症
뚱보	fatman
스카웃	スカウト
스프레이	スプレー
데이토나	デイトナ
싱크로	流し
싱크로	シンク
부검	検死
램버트	ランバート
상상력	イマジネーション
상상력	想像
상상력	想像力
바구니	バスケット
바구니	かご
앵그리	怒り
팰컨	ファルコン
아코디언	アコーディオン
일렉트로닉스	エレクトロニクス
테크닉	テクニック
앨프레드	アルフレッド
탬버린	タンブリン
여공작	公爵夫人
디킨스	ディケンズ
신앙고백	懺悔
신앙고백	自白
복종	従う
랩터	ラップ
식구들	fam
충동	強要
코카인	コカイン
글리	グリー
양쯔강	長江
가이드북	ガイドブック
암호학	暗号
금기	タブー
발송	出荷
드류	ドリュー
코토누	コトヌー
폴링	ポーリング
천막	テント
황홀한	恍惚
라드	rad
사무원	事務員
사무원	書記官
사무원	事務職
포츠	ポッツ
정박	停泊
태스크	タスク
회계사	会計士
보디빌더	ボディビルダー
코알라	コアラ
전주곡	前奏曲
전주곡	prelude
블루베리	ブルーベリー
립스틱	口紅
스프	スープ
기억하기	remember
흔들리고	ロッキング
융자	ローン
융자	融資
유니크	モニーク
호바트	ホバート
착취	搾取
리볼버	リボルバー
퀵타임	quicktime
비교하기	比較
정원사	庭師
플라이어	チラシ
혈소판	血小板
보루	bastion
휠러	ウィーラー
모노크롬	モノクローム
모노크롬	モノクロ
로딩	ローディング
해먼드	ハモンド
세탁소	クリーナー
메리어트	マリオット
베어링	軸受
라멘	ラーメン
당겨	引っ張る
당겨	プル
루저	敗者
두브로브니크	ドゥブロヴニク
크로포드	クロフォード
마그레브	マグリブ
디자이너가	デザイナー
혼동	混同
혼동	混乱
웨이팅	ウェイ
품목	出品
이니셔티브	イニシアチブ
지렁이	ミミズ
사진사	カメラマン
캐시디	キャシディ
안티고노스	アンティゴノス
말리부	マリブ
김나지움	体育館
페레즈	ペレス
소매치기	スリ
기본값	デフォルト
코르크	コルク
코르크	コーク
안마	マッサージ
러블리	素敵
아라스	アラス
빛나고	シャイニング
감독관	警視
엘리자	エリザ
자원봉사자	ボランティア
수녀원	修道院
이글레시아스	イグレシアス
번역기	翻訳
샤머니즘	シャーマニズム
채프먼	チャップマン
체온	気温
체온	温度
캐럿	カラット
건축학	アーキテクチャ
건축학	建築
배당	配当
사이프러스	ヒノキ
다르푸르	ダルフール
도매	卸売
분석하기	分析
분석하기	analyze
디킨슨	ディキンソン
로디지아	ローデシア
듀스	デュース
비글	ビーグル
아오야기	青柳
바스케스	バスケス
케이브	洞窟
양념	香辛料
양념	スパイス
아파	痛む
우디네	ウーディネ
꾸미기	デコレーション
단풍나무	メープル
단풍나무	カエデ
랴잔	リャザン
제리코	エリコ
렌탈	レンタル
포보스	フォボス
그레고리우스	グレゴリー
사우나	サウナ
포르노그래피	ポルノ
크로스파이어	crossfire
아스트라한	アストラハン
비커스	ヴィッカース
랜턴	ランタン
랜턴	提灯
피드	フィード
시퀀스	シーケンス
웰시	ウェルシュ
효과적	実効
헬리오스	ヘーリオス
아웃소싱	アウトソーシング
하얏트	ハイアット
선반	旋盤
키미	きみ
키미	キミ
아크릴	アクリル
클리넥스	クリネックス
텔레그래프	電報
구룡	九龍
두루미	クレーン
두루미	ツル
벨라루스어	ベラルーシ
베팅	賭ける
베팅	ベット
베팅	賭け
지연이	ディレイ
지연이	遅延
클리퍼스	クリッパーズ
용해	溶かす
용해	溶ける
즐겨찾기	お気に入り
광기	狂気
인증서	証明書
인증서	証書
펜타곤	ペンタゴン
메러디스	メレディス
넥타이	引き分け
넥타이	ネクタイ
외침	叫び声
인출	引き出す
조스	ジョス
퍼싱	パーシング
토스트	トースト
파타야	パタヤ
빈혈	貧血
카브레라	カブレラ
텔러	テラー
트리어	トリーア
시소	シーソー
채식주의자	ベジタリアン
숙녀	レディ
알렉	アレク
알렉	アレック
룩소르	ルクソール
딕시	ディキシー
엘리너	エレノア
신호기	シグナル
신호기	信号
욕심	欲張り
쉐프	パフ
지느러미	フィン
방탄	bts
마시멜로	マシュマロ
청록색	シアン
철자법	つづり
철자법	スペル
철자법	スペリング
미용사	美容師
항공편	フライト
항공편	飛行
헨델	ヘンデル
슬리퍼	スリッパ
배럴	バレル
레오나	レオナ
스쿠터	スクーター
대릴	ダリル
계절풍	モンスーン
베오울프	beowulf
엉망이	混乱
밑바닥	ボトム
반둥	バンドン
나탈	natal
타깃	ターゲット
각서	覚書
사울	ソール
사울	サウル
품위	威厳
품위	品格
품위	尊厳
인상파	印象派
스탤론	スタローン
페넬로페	ペーネロペー
페넬로페	ペネロペ
생계	生計
포스팅	投稿
포스팅	掲示
실루엣	シルエット
방광	膀胱
계속하기	続行
계속하기	continue
계속하기	続ける
딜리	ディリ
양고기	マトン
해충	害虫
목수	大工
베들레헴	ベツレヘム
보로네시	ヴォロネジ
무도회	プロム
직원들	スタッフ
수탉	雄鶏
빼기	引く
빼기	減算
스포트라이트	スポットライト
윌밍턴	ウィルミントン
문라이트	ムーンライト
처방	処方箋
세네카	セネカ
저축	貯蓄
저축	貯金
저축	節約
저축	預金
그레나다의	グレナダ
몬차	モンツァ
에어백	エアバッグ
채텀	チャタム
소년들	boys
소년들	男の子
흔들리기	振る
흔들리기	シェイク
흔들리기	shake
부식	腐食
시키시마	敷島
폴리곤	多角形
마이닝	鉱業
물개	アザラシ
물개	封印
물개	印章
물개	シール
물개	押印
카이엔	カイエンヌ
변경되었습니다	変更された
트레비소	トレヴィーゾ
오티스	オーティス
부정부패	汚職
정품	本物
정품	正真正銘
증세	症状
증세	徴候
기념탑	モニュメント
기념탑	記念碑
칸다하르	カンダハール
소변	排尿
인터프리터	インタプリタ
인터프리터	通訳
반가운	ガウン
사용권	ライセンス
파라미터	パラメータ
올리	オリー
포토샵	photoshop
코닥	コダック
그리어	グリア
반구	半球
고환	睾丸
고환	精巣
집주인	地主
집주인	家主
리비에라	riviera
턱시도	あご
적립	稼ぐ
막시무스	マクシムス
칠판	黒板
코덱스	コデックス
여보	ハニー
여보	はちみつ
여보	蜂蜜
퇴근	作業
퇴근	仕事
퇴근	ワーク
앙굴렘	アングレーム
민첩성	アジリティ
캥거루과	カンガルー
유독성	毒性
싱크로트론	シンクロトロン
아프다	病気
골반	骨盤
패리티	パリティ
패리티	パリティビット
인페르노	インフェルノ
팬케이크	ホットケーキ
팬케이크	パンケーキ
정육면체	立方体
정육면체	キューブ
프랑키	フランキー
혈청	血清
힐턴	ヒルトン
계측	測定
이누이트	イヌイット
밴스	ヴァンス
곤란	困難
식도	食道
블레넘	ブレニム
아델라이드	アデレード
틸리	ティリー
라바	幼生
벵가지	ベンガジ
융통성	フレキシブル
패딩턴	パディントン
배꼽	へそ
글렌데일	グレンデール
탈수	脱水
오두막	キャビン
오두막	船室
인스턴스	インスタンス
이베이	ebay
시오	sio
브레다	ブレダ
브레다	レーダ
필요함	必須
소름	不気味
올덴부르크	オルデンブルク
튜멘	チュメニ
임펄스	インパルス
새라	サラ
라힘	ラヒム
치코	チコ
정액	精液
전갈	スコーピオン
전갈	サソリ
현기증	目眩
현기증	フラフラ
비정상	異常
가독성	可読性
오프셋	オフセット
명함	バッジ
이슬람주의	イスラム教
팔머	パーマー
프레스콧	プレスコット
로더	ローダ
로더	ローダー
공급자	プロバイダ
공급자	プロバイダー
첨탑	尖塔
테트리스	テトリス
막대기	スティック
리큐어	リキュール
변환기	コンバータ
촉토	チョクトー
저울	スケール
저울	ウロコ
증류	蒸留
니컬스	ニコルス
떨리는	震え
비스킷	ビスケット
멜빌	メルヴィル
미켈	ミケル
어센션	アセンション
아우로라	オーロラ
미카타	マイカ
켤레	ペア
체펠린	ツェッペリン
남예멘	イエメン
욕망이	欲望
더위	ヒート
불가사리	ヒトデ
슬레이어	スレイヤー
스프라이트	スプライト
악취	悪臭
페르마	フェルマー
전람회	展示
바코드	バーコード
매머드	マンモス
로즈메리	ローズマリー
맛있다	おいしい
심각하다	深刻
클레이모어	クレイモア
왜냐면	なぜなら
왜냐면	だって
웨이트리스	ウェイトレス
벤더	ベンダー
코스트로마	コストロマ
누악쇼트	ヌアクショット
곡예	アクロバット
곡예	曲芸
불면증	不眠症
젖어	濡れ
윌크스	ウィルクス
병아리	ひよこ
생생	鮮やか
햄스터	ハムスター
메가바이트	メガバイト
다지리	田尻
관념론	観念論
발렌티노	ヴァレンティーノ
슬로베니아어	スロベニア
안토니누스	アントニヌス
디디	ディディ
견본	サンプル
선별	キュレーション
슈프림	supreme
초콜렛	チョコレート
크렘린	クレムリン
와이키키	ワイキキ
인구순	人口
중수소	重水素
터틀	タットル
터틀	タトル
컨버터	コンバータ
마인크래프트	minecraft
매너	マナー
이탤릭체	イタリック
피츠	フィッツ
에틸렌	エチレン
컴포지트	コンポジット
컴포지트	複合
뎀프시	デンプシー
춥다	風邪
춥다	コールド
춥다	冷たい
춥다	寒い
배반	裏切り
디자이너는	デザイナー
앰프	アンプ
두근	ひらひら
펩타이드	ペプチド
웃어라	笑い
웃어라	笑う
보이콧	ボイコット
색칠	塗り絵
토치	トーチ
토치	たいまつ
연골	軟骨
파타	ファタハ
피라냐	ピラニア
운동화	スニーカー
위선	偽善
니코틴	ニコチン
프로세싱	処理
프로세싱	加工
니콜스	ニコルス
루가노	ルガーノ
셸비	シェルビー
스튜디오스	スタジオ
월마트	ウォルマート
다이너모	ダイナモ
관심사	利子
관심사	利息
체사피크	チェサピーク
이소베	磯部
계약서	契約
파두츠	ファドゥーツ
마취	麻酔
나팔	トランペット
루퍼스	ルーファス
슈밋	シュミット
얼룩	しみ
얼룩	シミ
피임	避妊
갈비뼈	肋骨
트렌턴	トレントン
쉬어	安静
쉬어	休む
스크램블	スクランブル
콜리	コリー
조세핀	ジョゼフィーヌ
검수	レビュー
검수	審査
비슈누	ヴィシュヌ
냄비	パン
겨드랑이	脇の下
파프리카	パプリカ
귀하	あなた
파포스	パフォス
우연	偶然
숟가락	スプーン
보드카	ウォッカ
즐라탄	ズラタン
싱가포르가	シンガポール
튜토리얼	チュートリアル
무결성	整合性
아스완	アスワン
부신	副腎
아르마딜로	アルマジロ
무스탕	マスタング
발레타	バレッタ
하라주쿠	原宿
계피	シナモン
카탈리나	カタリナ
야곱	ジャコブ
헛소리	でたらめ
위층	二階
교통수단	輸送
교통수단	交通
좁아	狭い
파울러	ファウラー
옵저버	オブザーバー
옵저버	オブザーバ
돌프	ドルフ
표현식	表現
표현식	expression
제로니모	ジェロニモ
스모키	スモーキー
멘탈	メンタル
자물쇠	ロック
자물쇠	錠前
오토봇	オートボット
센티넬	sentinel
체크포인트	チェックポイント
기다림	待つ
기다림	待ち
사진관	カメラマン
오디토리움	講堂
머드	マッド
하임	ハイム
버킷	バケット
버킷	バケツ
반납	return
반납	リターン
오덴세	オーデンセ
샌즈	サンズ
뱅킹	銀行
구급차	救急車
플로우	フロー
플로우	流れ
턴제	ターン
턴제	曲がる
메서드	メソッド
세탁	洗濯
세탁	ランドリー
파마	パーマ
실업자	失業者
실업자	無職
메트로폴리스	大都市
메트로폴리스	メトロポリス
젤다	ゼルダ
일레인	エレイン
영영	若い
영영	ヤング
기저귀	おむつ
기저귀	オムツ
페놀	フェノール
깨짐	速報
카자흐어	カザフ
초승달과	三日月
햇살	サンシャイン
햇살	日光
햇살	日差し
난소	卵巣
비사우	ビサウ
콜비	コルビー
트랜스월드	トランス
흥미롭다	興味深い
흥미롭다	おもしろい
흥미롭다	面白い
살균	無菌
페니실린	ペニシリン
캠핑	キャンプ
노샘프턴	ノーザンプトン
흉내	真似
미사카	三笠
스탄	スタン
프레스티지	プレステージ
치료법	治療
치료법	セラピー
스탠바이	スタンバイ
진드기	ダニ
진드기	tick
네오지오	ネオ
귀걸이	イヤリング
꽃집	花屋
푸켓	プーケット
프로젝션	投影
메틸	メチル
보이프렌드	彼氏
보이프렌드	ボーイフレンド
편차	偏差
캠퍼	キャンパー
우와	wow
꼼짝	フリーズ
타임라인	年表
안정환	安定
응고	血栓
티후아나	ティファナ
디버그	デバッグ
마다가스카	マダガスカル
젱킨스	ジェンキンス
깁스	出演
깁스	キャスト
깁스	ギプス
연속성	連続
보리소프	ボリソフ
예뻐	可愛い
란제리	ランジェリー
뒤집기	反転
뒤집기	フリップ
순록	トナカイ
스카치	スコッチ
핫도그	ホットドッグ
회오리	旋風
간단	シンプル
간단	簡単
간단	単純
게이샤	芸妓
게이샤	芸者
성명서	ステートメント
성명서	声明
오버레이	オーバーレイ
듀란	デュラン
말리크	マリック
아카바	アカバ
저항운동	抵抗
저항운동	レジスタンス
타르트	タルト
리플레이	リプレイ
등불	街灯
와플	ワッフル
간헐천	間欠泉
여신상	彫像
영아	赤ちゃん
간식	スナック
카산드라	カサンドラ
운동선수	選手
운동선수	アスリート
글라이더	グライダー
경련	痙攣
오큘러스	oculus
두두	二つ
두두	二人
타이토	台東
건물들	建物
건물들	建築物
절실한	必死
공유하기	共有
공유하기	シェア
서랍	引き出し
불평	クレーム
불평	苦情
파울로스	ポール
파울로스	パウル
보증금	預金
보증금	デポジット
모니크	モニーク
레코더	レコーダー
응축	縮合
응축	凝縮
시금치	ほうれん草
하우저	ハウザー
성욕	性欲
아르마니	アルマーニ
단축키	ショートカット
라트비아어	ラトビア
살인죄	殺人
야쿠츠크	ヤクーツク
백만명	ミリオン
백만명	million
백만명	百万
아크레	エーカー
어리석음	愚か
바스라	バスラ
로토루아	ロトルア
금주법	禁酒
금주법	禁止
금주법	禁酒令
디오니소스	ディオニューソス
점막	粘膜
선불	プリペイド
습기	水分
구라	神楽
바운스	バウンス
요아킴	ヨアヒム
요아킴	ヨアキム
이발	理容師
이발	床屋
월요	月曜日
궁수	サジタリウス
트랜싯	トランジット
요세미티	ヨセミテ
조롱	嘲笑
앤지	アンジー
창녀	娼婦
윌프리드	ウィルフリッド
릴리안	リリアン
완두콩	エンドウ
모티머	モーティマー
미리암	ミリアム
플리트	艦隊
플리트	フリート
테스	テス
그리움	あこがれ
칭찬	賛辞
스컹크	スカンク
생성기	ジェネレータ
미끼	ベイト
배송	出荷
가미카제	神風
무연	無煙
아드리아나	アドリアーナ
이모티콘	絵文字
추세	トレンド
추세	流行
낮음	低い
참깨	ゴマ
참깨	胡麻
닫아	閉じる
닫아	クローズ
고통받고	苦しむ
스튜어디스	スチュワーデス
자이언	シオン
페이스트리	洋菓子
루시퍼	ルシファー
고집	頑固
아우구스타	オーガスタ
페르세우스	ペルセウス
토미에	富江
이글루	igloo
투발루의	ツバル
튜너	チューナー
라이프스타일	生き方
라이프스타일	ライフスタイル
캐러멜	カラメル
캐러멜	キャラメル
파자마	パジャマ
매크로미디어	macromedia
잊어	forget
청취자	リスナー
에뮬레이션	エミュレータ
에뮬레이션	エミュレーション
파울루스	パウルス
윤곽	アウトライン
윤곽	概略
윤곽	概説
바스크어	バスク
아카사키	赤崎
캐피톨	キャピトル
트와이스	二度
트와이스	二回
트와이스	twice
불행	不幸
이리스	アイリス
전치사	前置詞
불가리아인	ブルガリア
외로워	孤独
외로워	寂しい
캐피틀	キャピトル
매케이	マッケイ
조종석	コックピット
라스무센	ラスムセン
아빌라	アビラ
월터스	ウォルターズ
몽크	モンク
브라우징	閲覧
브라우징	ブラウズ
외레브로	エレブルー
중개인	ブローカー
단풍	メープル
단풍	カエデ
왈리스	ウォリス
카뮈	カミュ
애벗	アボット
블러	ぼかし
서프	サーフィン
눈보라	吹雪
바인딩	バインディング
바인딩	拘束
킨텍스	キーン
넷플릭스	netflix
백만장자	ミリオネア
좌우명	標語
남자아이	男の子
남자아이	少年
남자아이	ボーイ
정전기	停電
럭스	ルクス
어린이들	子供
오늘밤	今夜
오늘밤	tonight
오늘밤	トゥナイト
오늘밤	今晩
갤런	ガロン
입력하기	入力
쿠엥카	クエンカ
트림	ゲップ
스미소니언	スミソニアン
사만다	サマンサ
카펫	カーペット
카펫	じゅうたん
카펫	絨毯
브래디	ブレイディ
계류	停泊
피바디	ピーボディ
마에스트로	マエストロ
줄루	ズールー
시술	トリートメント
바퀴벌레	ゴキブリ
매독	梅毒
화질	品質
화질	クオリティ
화질	画質
화질	quality
라피엣	ラファイエット
에스키모	エスキモー
롭슨	ロブソン
브라스	真鍮
전립선	前立腺
비티	ビーティー
빛나	シャイニング
빨래	洗濯
빨래	ランドリー
엽록소	クロロフィル
몬스터즈	モンスターズ
대화형	インタラクティブ
언제쯤	いつ
언제쯤	とき
서술자	ディスクリプタ
계좌	アカウント
애국주의	愛国心
파멜라	パメラ
전등	ランプ
송금	決済
송금	支払い
비활성화	無効
아이크	アイク
로보캅	ロボコップ
바얀	バヤン
불편하다	不快
입장료	入場
입장료	入学
입장료	入園
아라드	arad
팩스턴	パクストン
밑줄	下線
독창	オリジナル
속담	ことわざ
가톨릭주의	カトリック
스팅어	スティンガー
오버헤드	頭上
짝꿍	マテ
짝꿍	メイト
조각가자리	彫刻
조각가자리	彫刻家
애도	お悔やみ
일기장	日記
센티멘탈	センチメンタル
캐롤린	キャロリン
내보내기	エクスポート
비비언	ヴィヴィアン
이자벨라	イサベル
이자벨라	イザベッラ
체서피크	チェサピーク
쿨리지	クーリッジ
감도	感度
감도	感受性
이기적	利己主義
이기적	わがまま
모리아티	モリアーティ
바그라티온	バグラチオン
스카이워커	スカイウォーカー
다락방	屋根裏
자매들	姉妹
스포캔	スポケーン
톱니바퀴	歯車
톱니바퀴	ギア
기억력	メモリ
기억력	メモリー
기억력	記憶
어벤져	アヴェンジャー
고문의	拷問
총각	独身
충고	助言
사용하다	使用
식욕	食欲
솜씨	スキル
세피아	セピア
재스퍼	ジャスパー
벤치마크	ベンチマーク
무라노	ムラーノ
다이버	ダイバー
반역자	裏切り者
하일랜드	高地
하일랜드	ハイランド
라마단	ラマダーン
정직하게	正直
동기부여	モチベーション
샤샤	シャー
드레서	ドレッサー
무선랜	wlan
삭제함	削除
대리점	エージェンシー
대리점	代理店
누르기	tap
누르기	蛇口
누르기	タップ
위키위키	wiki
위키위키	ウィキ
뺄셈	引き算
셀리나	セリナ
릴롱궤	リロングウェ
스카보로	スカーバロー
스카보로	スカボロー
스카보로	scarborough
포도밭	葡萄園
불편	不快
아드레날린	アドレナリン
레벌루션	revolution
레벌루션	革命
레벌루션	レボリューション
마리화나	マリファナ
블랑카	ブランカ
타투	入れ墨
타투	刺青
타투	タトゥー
틈새	隙間
틈새	ギャップ
올챙이	オタマジャクシ
오츠	オーツ
히터	ヒーター
덤불	低木
플래너	プランナー
보덴	ボーデン
알피	アルフィー
광경	光景
엑스터시	エクスタシー
트러스	トラス
보람	やりがい
퍼블리셔	出版
퍼블리셔	パブリッシャー
퍼블리셔	出版社
마침표	ピリオド
치노	チノ
체호프	チェーホフ
미카도	みか
스냅	スナップ
판테온	pantheon
세미콜론	セミコロン
마카로프	マカロフ
픽시	ピクシー
토토로	トロ
사육제	カーニバル
리마솔	リマソール
골목길	裏通り
골목길	路地
그린즈버러	グリーンズボロ
즐겨라	楽しむ
조르지오	ジョルジョ
수익금	収益
카바레	キャバレー
티볼리	tivoli
브릭	レンガ
브릭	れんが
브릭	煉瓦
절개	切開
발레단	バレエ
제스처	身振り
제스처	ジェスチャー
마리온	マリオン
재채기	くしゃみ
바이오쇼크	bioshock
광견병	狂犬病
닫힘	閉包
닫힘	閉鎖
쥬스	ジュース
와츠	ワッツ
킬로바이트	キロバイト
펩시콜라	ペプシ
애들러	アドラー
오노노	小野
망델브로	マンデルブロ
흉터	傷跡
피켓	ピケット
베벌리	ビヴァリー
관할권	管轄
마츠자카	松坂
마츠자카	松阪
하운드	猟犬
하운드	ハウンド
추락사고	クラッシュ
에미르	アミール
서배너	サバンナ
레너	レナー
스파크스	スパークス
토스카	トスカ
이매뉴얼	エマニュエル
세칙	規約
테이텀	テイタム
베카	ベッカ
채드윅	チャドウィック
아디	シャン
신기루	蜃気楼
썰매	そり
썰매	ソリ
생태주의	エコロジー
생태주의	生態学
플래그십	旗艦
